Country Name,Country Code,Time,Time Code,Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Renewable energy consumption]
China,CHN,1990,YR1990,510.6198549,34.08361405
China,CHN,1991,YR1991,548.9537531,33.25847354
China,CHN,1992,YR1992,604.6936831,32.9312779
China,CHN,1993,YR1993,662.6370456,31.6777918
China,CHN,1994,YR1994,727.1073597,31.24948417
China,CHN,1995,YR1995,770.2802412,29.47211139
China,CHN,1996,YR1996,821.0808591,30.53717546
China,CHN,1997,YR1997,852.7406865,30.18348168
China,CHN,1998,YR1998,870.6172223,29.73990148
China,CHN,1999,YR1999,913.963448,30.50604898
China,CHN,2000,YR2000,992.9433847,29.63
China,CHN,2001,YR2001,1076.549121,28.36
China,CHN,2002,YR2002,1194.856295,27
China,CHN,2003,YR2003,1379.484632,23.86
China,CHN,2004,YR2004,1585.838782,20.17
China,CHN,2005,YR2005,1782.312153,17.44
China,CHN,2006,YR2006,2039.01466,16.39
China,CHN,2007,YR2007,2325.926769,14.88
China,CHN,2008,YR2008,2446.369055,14.14
China,CHN,2009,YR2009,2612.45662,13.43
China,CHN,2010,YR2010,2943.589954,12.26
China,CHN,2011,YR2011,3295.784868,11.34
China,CHN,2012,YR2012,3466.019539,11.53
China,CHN,2013,YR2013,3757.185088,11.45
China,CHN,2014,YR2014,3905.317598,11.94
China,CHN,2015,YR2015,..,12.18
China,CHN,2016,YR2016,..,12.56
China,CHN,2017,YR2017,..,13.13
China,CHN,2018,YR2018,..,13.71
China,CHN,2019,YR2019,..,14.45
United Arab Emirates,ARE,1990,YR1990,8179.876231,0
United Arab Emirates,ARE,1991,YR1991,7862.046233,0
United Arab Emirates,ARE,1992,YR1992,8036.457268,0.188369133
United Arab Emirates,ARE,1993,YR1993,8894.050423,0.150356177
United Arab Emirates,ARE,1994,YR1994,9274.271111,0.12014534
United Arab Emirates,ARE,1995,YR1995,9329.955612,0.112604486
United Arab Emirates,ARE,1996,YR1996,9388.452367,0.080332347
United Arab Emirates,ARE,1997,YR1997,9655.444648,0.076355659
United Arab Emirates,ARE,1998,YR1998,10817.38916,0.072469921
United Arab Emirates,ARE,1999,YR1999,11700.16558,0.071648551
United Arab Emirates,ARE,2000,YR2000,11782.92406,0.08
United Arab Emirates,ARE,2001,YR2001,11601.53529,0.06
United Arab Emirates,ARE,2002,YR2002,11969.76598,0.07
