Country Name,Country Code,Time,Time Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","Population, total [SP.POP.TOTL]",Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS]
China,CHN,1990,YR1990,2173360,1.91454256354691,317.884673040928,981.41920741335,1135185000,34.083614045282
China,CHN,1991,YR1991,2302180,2.00053876501156,333.142145400184,1093.56622897445,1150780000,33.2584735412724
China,CHN,1992,YR1992,2418180,2.07574443977098,366.460692302073,1262.02548338472,1164970000,32.9312779040239
China,CHN,1993,YR1993,2645410,2.24484063677404,377.389839479958,1454.49159197216,1178440000,31.6777918019623
China,CHN,1994,YR1994,2767670,2.32219224976612,473.492278718042,1660.34687960293,1191835000,31.2494841669185
China,CHN,1995,YR1995,3088620,2.56347859285972,609.656679202484,1860.5250626322,1204855000,29.4721113943924
China,CHN,1996,YR1996,3070510,2.5218758983204,709.413755085039,2060.86809985132,1217550000,30.5371754582264
China,CHN,1997,YR1997,3134110,2.54790155071845,781.744164341053,2266.72883819804,1230075000,30.1834816771978
China,CHN,1998,YR1998,3236280,2.60583685941696,828.580479295681,2448.48229055823,1241935000,29.7399014806871
China,CHN,1999,YR1999,3153660,2.51741988529098,873.28706172579,2650.17868564953,1252735000,30.506048980242
China,CHN,2000,YR2000,3346530,2.65041242787957,959.372483639691,2917.24252975223,1262645000,29.63
China,CHN,2001,YR2001,3529080,2.77476117466682,1053.10824300452,3208.22995657984,1271850000,28.36
China,CHN,2002,YR2002,3810060.05859375,2.97567952092608,1148.5082904417,3532.08165146854,1280400000,27
China,CHN,2003,YR2003,4415910.15625,3.42743725260012,1288.64325183381,3938.73027446517,1288400000,23.86
China,CHN,2004,YR2004,5124819.82421875,3.9541074584563,1508.66809788266,4427.13100314759,1296075000,20.17
China,CHN,2005,YR2005,5824629.8828125,4.46770002977058,1753.41782925823,5056.40472408662,1303720000,17.44
China,CHN,2006,YR2006,6437470.21484375,4.91027613220527,2099.22943460447,5842.77863595644,1311020000,16.39
China,CHN,2007,YR2007,6993180.17578125,5.30636601507814,2693.97006340526,6818.9234092516,1317885000,14.88
China,CHN,2008,YR2008,7199600.09765625,5.43507562169489,3468.30460207434,7581.45351258495,1324655000,14.14
China,CHN,2009,YR2009,7719069.82421875,5.79831875382626,3832.23643246702,8305.76018514131,1331260000,13.43
China,CHN,2010,YR2010,8474919.921875,6.33541769065302,4550.4531077571,9254.77960343715,1337705000,12.26
China,CHN,2011,YR2011,9282549.8046875,6.90134442946652,5614.35213522574,10292.9404780759,1345035000,11.34
China,CHN,2012,YR2012,9541870.1171875,7.04618267539082,6300.61511825789,11168.6972979775,1354190000,11.53
China,CHN,2013,YR2013,9984570.3125,7.32414711459464,7020.33848453658,11872.4973811617,1363240000,11.45
China,CHN,2014,YR2014,10006669.921875,7.29423550644745,7636.11660125265,12480.3385303742,1371860000,11.94
China,CHN,2015,YR2015,9861099.609375,7.14644935672822,8016.43143498352,12897.5022868649,1379860000,12.18
China,CHN,2016,YR2016,9874660.15625,7.11538500511605,8094.36336674652,13483.3772665228,1387790000,12.56
China,CHN,2017,YR2017,10096009.765625,7.23098503140634,8816.98690451883,14243.5326108474,1396215000,13.13
China,CHN,2018,YR2018,10502929.6875,7.48733189390915,9905.34200388822,15495.548422109,1402760000,13.71
China,CHN,2019,YR2019,10707219.7265625,7.60593696057347,10143.8381955585,16652.0988008463,1407745000,14.45
United Arab Emirates,ARE,1990,YR1990,55210,29.055585582409,26682.8498094612,83843.2246780448,1900151,0
United Arab Emirates,ARE,1991,YR1991,61560,30.6515241365815,25668.4933214662,82712.8139100066,2008383,0
United Arab Emirates,ARE,1992,YR1992,59700,28.2105308919489,25630.0809730927,82972.0061484129,2116231,0.188369132808218
United Arab Emirates,ARE,1993,YR1993,63620,28.6153275964744,25019.372357889,81868.5116511012,2223284,0.150356176516817
United Arab Emirates,ARE,1994,YR1994,70780,30.3904124646204,25463.4962885063,85325.005838407,2329024,0.120145339503671
United Arab Emirates,ARE,1995,YR1995,75170,30.8834718987933,27010.6781857038,88932.300784671,2433988,0.112604485546437
United Arab Emirates,ARE,1996,YR1996,78530,30.523936588883,28596.5068287975,90644.5911207501,2572735,0.0803323472677077
United Arab Emirates,ARE,1997,YR1997,81440,29.6563987212499,28709.2469206781,93461.25054378,2746119,0.0763556592072081
United Arab Emirates,ARE,1998,YR1998,83450,28.5677118101557,25905.8433836172,89110.1443914782,2921130,0.072469920617531
United Arab Emirates,ARE,1999,YR1999,85680,27.6604543636401,27261.9065733158,87692.0249328971,3097563,0.0716485511532455
United Arab Emirates,ARE,2000,YR2000,84730,25.8691253683213,31855.5006047175,94015.709186612,3275333,0.08
United Arab Emirates,ARE,2001,YR2001,97200,28.1396723638888,29909.0094348435,92431.1914880088,3454198,0.06
United Arab Emirates,ARE,2002,YR2002,99150.0015258789,27.2865755075479,30221.9669995136,91407.1841157827,3633655,0.07
United Arab Emirates,ARE,2003,YR2003,103819.999694824,27.2247414462007,32607.3729348287,96633.0226384682,3813443,0.07
United Arab Emirates,ARE,2004,YR2004,110010.00213623,27.5483754663028,37017.736365469,103821.831377533,3993339,0.1
United Arab Emirates,ARE,2005,YR2005,116459.999084473,27.2039685849692,42190.5543794633,104732.05369113,4280993,0.11
United Arab Emirates,ARE,2006,YR2006,121559.997558594,24.8134596811062,45339.5851165809,103625.975953245,4898954,0.12
United Arab Emirates,ARE,2007,YR2007,131830.001831055,22.4482278843418,43918.3801694265,91608.3222202727,5872624,0.11
United Arab Emirates,ARE,2008,YR2008,156050.003051758,22.328950732757,45140.7690772438,80959.4607166056,6988685,0.11
United Arab Emirates,ARE,2009,YR2009,157020.004272461,19.6455646307356,31722.5887637992,67508.5860094236,7992644,0.11
United Arab Emirates,ARE,2010,YR2010,162789.993286133,19.1929248368216,34165.9133053315,65411.9400392554,8481771,0.11
United Arab Emirates,ARE,2011,YR2011,165600.006103516,19.3114923903879,40893.0233597739,70619.3158481136,8575205,0.11
United Arab Emirates,ARE,2012,YR2012,175589.996337891,20.2643536679578,44386.7860789846,74853.5750972265,8664969,0.1
United Arab Emirates,ARE,2013,YR2013,184470.001220703,21.0778366235953,45729.6076756823,75877.9979631878,8751847,0.1
United Arab Emirates,ARE,2014,YR2014,184759.994506836,20.9100293230277,46865.9645983676,78859.0891166617,8835951,0.14
United Arab Emirates,ARE,2015,YR2015,195240.005493164,21.8955048714989,41525.1389031283,69705.704856878,8916899,0.13
United Arab Emirates,ARE,2016,YR2016,201080.001831055,22.3564734354616,41054.5395699204,68853.8197724917,8994263,0.12
United Arab Emirates,ARE,2017,YR2017,197039.993286133,21.7284474708515,43063.9674770763,71182.3707145056,9068296,0.19
United Arab Emirates,ARE,2018,YR2018,177119.995117188,19.3781969586326,46722.2687183733,73259.9048664239,9140169,0.32
United Arab Emirates,ARE,2019,YR2019,188860.000610352,20.5022832059804,45376.1708381558,74811.6902150565,9211657,0.67
United States,USA,1990,YR1990,4844520,19.4073462781875,23888.6000088133,23888.6000088133,249623000,4.17546218583434
United States,USA,1991,YR1991,4807500,19.003403417648,24342.2589048189,24342.2589048189,252981000,4.50791959377071
United States,USA,1992,YR1992,4879630,19.0228603507021,25418.9907763319,25418.9907763319,256514000,4.76308310810846
United States,USA,1993,YR1993,4995210,19.2183334038681,26387.2937338171,26387.2937338171,259919000,4.28152840674077
United States,USA,1994,YR1994,5066810,19.2562118528766,27694.853416234,27694.853416234,263126000,4.08864139839829
United States,USA,1995,YR1995,5117040,19.2169086443491,28690.8757013347,28690.8757013347,266278000,4.72655433519206
United States,USA,1996,YR1996,5273490,19.5753802980022,29967.7127181749,29967.7127181749,269394000,4.76393045060593
United States,USA,1997,YR1997,5543350,20.3308552503695,31459.1389804773,31459.1389804773,272657000,4.51426029882715
United States,USA,1998,YR1998,5590540,20.2663002892835,32853.6769523009,32853.6769523009,275854000,4.5342968895809
United States,USA,1999,YR1999,5609020,20.1011324541284,34515.3902272076,34515.3902272076,279040000,5.70972659311957
United States,USA,2000,YR2000,5775810,20.4698066603918,36329.9560727102,36329.9560727102,282162411,5.43
United States,USA,2001,YR2001,5748260,20.1715306146243,37133.623113437,37133.623113437,284968955,4.68
United States,USA,2002,YR2002,5593029.78515625,19.4455490036168,37997.7596573051,37997.7596573051,287625193,4.84
United States,USA,2003,YR2003,5658990.234375,19.5064994461044,39490.2749557007,39490.2749557007,290107933,5.33
United States,USA,2004,YR2004,5738290.0390625,19.5976305014211,41724.6316287624,41724.6316287624,292805298,5.48
United States,USA,2005,YR2005,5753490.234375,19.46926248422,44123.4070679055,44123.4070679055,295516599,5.84
United States,USA,2006,YR2006,5653080.078125,18.9459137521463,46302.0008800056,46302.0008800056,298379912,6.4
United States,USA,2007,YR2007,5736319.82421875,19.0429135193113,48050.2237771135,48050.2237771135,301231207,6.3
United States,USA,2008,YR2008,5558379.8828125,18.2784944927598,48570.0459804586,48570.0459804586,304093966,6.85
United States,USA,2009,YR2009,5156430.17578125,16.8086986187732,47194.9433547336,47194.9433547336,306771529,7.35
United States,USA,2010,YR2010,5392109.86328125,17.4317384856241,48650.6431283336,48650.6431283336,309327143,7.44
United States,USA,2011,YR2011,5173600.09765625,16.6042181730945,50065.9665041742,50065.9665041742,311583481,8.36
United States,USA,2012,YR2012,4956060.05859375,15.7897826401987,51784.4185738837,51784.4185738837,313877662,8.73
United States,USA,2013,YR2013,5092100.09765625,16.1111844319086,53291.1276891406,53291.1276891406,316059947,9.08
United States,USA,2014,YR2014,5107209.9609375,16.0409210313094,55123.8497869046,55123.8497869046,318386329,9.22
United States,USA,2015,YR2015,4990709.9609375,15.5600349639355,56762.7294515989,56762.7294515989,320738994,9.03
United States,USA,2016,YR2016,4894500,15.1498852011993,57866.7449341091,57866.7449341091,323071755,9.46
United States,USA,2017,YR2017,4819370.1171875,14.8232608676439,59907.754260885,59914.7777969757,325122128,9.92
United States,USA,2018,YR2018,4975310.05859375,15.2225476514566,62823.309438197,62805.2537579917,326838199,10.12
United States,USA,2019,YR2019,4817720.21484375,14.6734106066885,65120.3946628653,65094.7994287929,328329953,10.42
United Kingdom,GBR,1990,YR1990,561770,9.81299019315854,19095.4669984608,17117.4474694175,57247586,0.651133978423517
United Kingdom,GBR,1991,YR1991,570680,9.93784977968702,19900.7266505069,17447.0606593645,57424897,0.608264131136578
United Kingdom,GBR,1992,YR1992,557890,9.688886854246,20487.1707852878,17867.8581747588,57580402,0.840737795568959
United Kingdom,GBR,1993,YR1993,541380,9.37964310785425,18389.0195675099,18701.9148312431,57718614,0.775204971316571
United Kingdom,GBR,1994,YR1994,535180,9.24864961126829,19709.2380983653,19785.4851931255,57865745,1.02142848392085
United Kingdom,GBR,1995,YR1995,526810,9.07995187096372,23202.4615775949,20629.6090756764,58019030,1.06022909884603
United Kingdom,GBR,1996,YR1996,545480,9.37783397616688,24440.3281377791,21975.4932067367,58166950,0.943586897127666
United Kingdom,GBR,1997,YR1997,524190,8.98863819259147,26781.362168176,23050.0680789321,58316954,1.02847968902927
United Kingdom,GBR,1998,YR1998,526000,8.9934298549488,28297.8659970584,23684.5991722139,58487141,1.02970432391514
United Kingdom,GBR,1999,YR1999,522750,8.90811234824385,28786.9592756835,24463.4963288274,58682466,0.948917657048062
United Kingdom,GBR,2000,YR2000,530890,9.01455828494603,28290.9725024578,26475.8384951968,58892514,0.96
United Kingdom,GBR,2001,YR2001,545260,9.22298741402037,27886.7985907797,27811.5331266683,59119673,0.85
United Kingdom,GBR,2002,YR2002,530789.978027344,8.94030142534885,30079.6600435049,29062.1238667812,59370479,0.97
United Kingdom,GBR,2003,YR2003,543039.978027344,9.10414144781345,34479.3929332278,30356.5920833365,59647577,0.93
United Kingdom,GBR,2004,YR2004,543080.017089844,9.05315858404864,40390.7858294925,32058.5553142789,59987905,1.14
United Kingdom,GBR,2005,YR2005,540919.982910156,8.95545004366562,42131.6993992712,32747.3540098412,60401206,1.35
United Kingdom,GBR,2006,YR2006,542059.997558594,8.90860027785501,44536.6197203512,34840.4894083958,60846820,1.55
United Kingdom,GBR,2007,YR2007,530500,8.65098976862687,50435.37028921,35699.2749253093,61322463,1.84
United Kingdom,GBR,2008,YR2008,515340.026855469,8.33789163921445,47429.9363403009,36863.5847601847,61806995,2.79
United Kingdom,GBR,2009,YR2009,466489.990234375,7.49065398801783,38821.1795827116,35214.354584981,62276270,3.38
United Kingdom,GBR,2010,YR2010,482440.002441406,7.68628233356203,39693.1938701237,36576.0656935189,62766365,3.67
United Kingdom,GBR,2011,YR2011,445589.996337891,7.04391999055769,42150.6981408821,37379.2909657729,63258810,4.44
United Kingdom,GBR,2012,YR2012,467779.998779297,7.34346028155944,42485.5860695397,38514.0261691783,63700215,4.77
United Kingdom,GBR,2013,YR2013,453760.009765625,7.07581833313404,43449.0917173139,40218.7472562217,64128273,6.02
United Kingdom,GBR,2014,YR2014,415600.006103516,6.4332077800625,47447.5889322667,41580.6024876318,64602298,7.36
United Kingdom,GBR,2015,YR2015,401079.986572266,6.15944833302231,45071.0743234873,42912.8750936201,65116219,8.61
United Kingdom,GBR,2016,YR2016,380809.997558594,5.80400475200463,41146.0773555246,44635.2995586517,65611593,8.6
United Kingdom,GBR,2017,YR2017,367000,5.55565151375079,40621.334478632,46372.38660351,66058859,9.7
United Kingdom,GBR,2018,YR2018,360730.010986328,5.42774817696291,43306.3083049317,47573.4880155177,66460344,10.99
United Kingdom,GBR,2019,YR2019,348920.013427734,5.22051448799294,42747.080460496,49661.384589432,66836327,12.24
India,IND,1990,YR1990,563580,0.647456600903509,368.749759408129,1204.2420585097,870452165,58.652858348278
India,IND,1991,YR1991,607230,0.683093122694981,303.850437957407,1231.9554389214,888941756,57.6047933357271
India,IND,1992,YR1992,626290,0.690070414298503,317.559135479384,1301.82412427609,907574049,57.2305674845727
India,IND,1993,YR1993,651350,0.703134979256147,301.501194948853,1367.69753566015,926351297,56.9833633428903
India,IND,1994,YR1994,685900,0.725618961172666,346.227393126043,1460.11543354171,945261958,55.5571874605853
India,IND,1995,YR1995,737860,0.7651933737954,373.628280320062,1572.02144661069,964279129,54.4841170038941
India,IND,1996,YR1996,774070,0.787231552713336,399.577503521552,1688.38640732804,983281218,53.767409699754
India,IND,1997,YR1997,819270,0.81736127343344,414.898869576673,1753.08592524327,1002335230,52.4880731033173
India,IND,1998,YR1998,836270,0.818721061191099,412.509511039641,1847.25669628678,1021434576,52.7122557076625
India,IND,1999,YR1999,901330,0.866246951679639,440.961454614021,2001.63410705703,1040500054,51.7172937036599
India,IND,2000,YR2000,937860,0.885079459181967,442.034778917695,2087.22477607328,1059633675,46.88
India,IND,2001,YR2001,953540,0.883749500393156,449.911124933268,2197.10940356849,1078970907,47.11
India,IND,2002,YR2002,985450.012207031,0.897239655011535,468.84442830518,2275.44150645011,1098313039,45.75
India,IND,2003,YR2003,1011770.01953125,0.905455813784659,543.843798893951,2459.95391558817,1117415123,45.63
India,IND,2004,YR2004,1085670.04394531,0.95547292434205,624.105094371897,2680.89808065717,1136264583,44.92
India,IND,2005,YR2005,1136469.97070313,0.98426456510395,710.509344850714,2936.56044321875,1154638713,44.16
India,IND,2006,YR2006,1215209.9609375,1.03653798248985,802.01374204738,3221.6977778036,1172373788,43.16
India,IND,2007,YR2007,1336739.99023438,1.12360191111846,1022.73162874643,3510.38877422839,1189691809,41.53
India,IND,2008,YR2008,1424380.00488281,1.18035876466035,993.503772474691,3636.06037100649,1206734806,39.37
India,IND,2009,YR2009,1564880.00488281,1.27887270787419,1096.63498033497,3892.53003086871,1223640160,37.41
India,IND,2010,YR2010,1659979.98046875,1.3380314013228,1350.63432207085,4215.58082753066,1240613620,36.16
India,IND,2011,YR2011,1756739.99023438,1.39687530935886,1449.60178853415,4467.46665450288,1257621191,35.01
India,IND,2012,YR2012,1909439.94140625,1.49820250759146,1434.01819806113,4827.94597280073,1274487215,34.75
India,IND,2013,YR2013,1972430.05371094,1.52767490656836,1438.05748041006,5016.9287461514,1291132063,34.85
India,IND,2014,YR2014,2147110.10742188,1.64246765444748,1559.86451848257,5187.25575926111,1307246509,33.85
India,IND,2015,YR2015,2158020.01953125,1.63132108294725,1590.17391842781,5412.33623872893,1322866505,33.4
India,IND,2016,YR2016,2195250,1.63991513931259,1714.28035526737,5778.26961388029,1338636340,33.02
India,IND,2017,YR2017,2320409.91210938,1.71349676149416,1957.968841235,6112.06664986172,1354195680,32.41
India,IND,2018,YR2018,2451929.93164063,1.7910328783681,1974.37778792366,6589.9138082177,1369003306,32.82
India,IND,2019,YR2019,2456300.04882813,1.77592267295201,2047.23270433512,6887.53834793046,1383112050,32.93
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 03/30/2023,,,,,,,,,
